class;ball;task;0;1;2;3;cor
Python;200;Что выводит код: print(type(23.01));23.01;class 'float';class 'int';type 'float';1
Python;300;Для чего используется метод replace()?;Чтобы вывести на экран;Чтобы удолить;Чтобы заменить символ;Обеденить 2 списка;2
Python;400;Как обеденить 2 списка;extend();union();append();insert();0
Python;500;Что находится в списке: [k for k,v in dict.items() if v.isint()];Какие-то целые числа;Ключи, значения которых целые числа;Значения, ключи которых целые числа;Алфавит от A до Z;1
География;200;Столица Казахстана;Астана;Нур-Султан;Акмола;Все ответы верны;3
География;300;Какое государство является крупнейшим производителем кофе в мире?;Бразилия;Индия;Египт;Мексика;0
География;400;В какой стране находится город Стамбул?;Туркменистан;Иран;Турция;Таджикистан;2
География;500;В какой стране находится национальный парк Серенгети?;Конго;Танзания;Судан;Уганда;1
Разное;200;Какой газ используется для заполнения воздушных шаров?;Водород;Кислород;Азот;Гелий;3
Разное;300;Какое животное является символом Австралии?;Кенгуру;Эму;Коала;Утконос;0
Разное;400;Кто является автором книги "Война и мир"?;Пушкин;Максим Горький;Лев Толстой;Достоевский;2
Разное;500;Какой химический элемент является основным составляющим в человеческом организме?;Кислород;Углерод;Водород;Азот;0
Миллионеры;200;Кто является владельцем компании Tesla?;Правительство США;Илон Маск;Джефф Безос;Павел Дуров;1
Миллионеры;300;Кто является основателем компании Apple?;Марк Цукерберг;Илон Маск;Билл Гейтс;Стив Джобс;3
Миллионеры;400;Кто является основателем компании Amazon?;Билл Гейтс;Стив Джобс;Скруч Макдак;Джефф Безос;3
Миллионеры;500;Кто в будущем самый богатый человек?;Не этот ответ;Не этот ответ;Адхамбек;Не этот ответ;2
История;200;Кто был первым президентом США?;Франклин Рузвильд;Аврам Линкольн;Джордж Вашингтон;Дональд Трапм;2
История;300;Каком году началась Вторая мировая война?;1941;1945;1937;1939;3
История;400;Каком году началась Первая мировая война?;1941;1914;1843;1892;1
История;500;Какое событие в истории США стало причиной Гражданской войны?;Холодная война;Сухой закон;Отмена рабства;Великая депресия;2